"Initial Text", "Der RatePAY Produktratenrechner bringt die RatePAY Ratenzahlung auf die Produktseite. Den Produktdetails wird ein frei gestaltbarer Anzeigetext hinzugefügt, welcher Informationen über die Möglichkeiten der Ratenzahlung enthält. Wenn mehrere Laufzeiten möglich sind, werden diese durch Buttons ausw&auml;hlbar."
"Germany", "Deutschland"
"Austria", "Österreich"
"General Settings", "Allgemeine Einstellungen"
"Round Numbers", "Zahlen ganzzahlig runden"
"Module Enabled", "Modul aktiviert"
"Yes", "Ja"
"No", "Nein"
"Active", "Aktiv"
"Inactive", "Inaktiv"
"Profile-Id", "Profile Id"
"Security Code", "Security Code"
"Activate Sandbox", "Sandbox Modus"
"Help Sandbox", "Beim Sandbox Modus handelt es sich um einen Testmodus, welcher im Rahmen der technischen Integration genutzt wird"
"Get Config", "Konfiguration laden"
"Help Get Config", "Laden der bei RatePAY hinterlegten Profilkonfiguration.<br>Nach Empfang erfolgt die automatische Speicherung. Dies kann einige Sekunden in Anspruch nehmen."
"Status RatePAY", "Status von RatePAY"
"Text", "Anzeigetext"
"Help Text", "Der Anzeigetext kann frei gestaltet werden. Der Platzhalter <i>{runtime}</i> wird durch auf der Produktseite die jeweilige monatliche Laufzeit ersetzt. Der Platzhalter <i>{price}</i> wird durch die jeweilige monatliche Ratenh&ouml;he ersetzt."
"Minimum Price", "Minimalpreis"
"Maximum Price", "Maximalpreis"
"Rate Minimum", "Minimumrate"
"Interest Rate", "Sollzinsatz p.a."
"Service Charge", "Servicegebühr"
"Runtimes", "Monatliche Laufzeiten"
"Default Runtime", "Standard-Laufzeit"
"Help Default Runtime", "Diese Laufzeit wird vorausgewählt auf der Produktseite angezeigt. Wenn die Laufzeit nicht möglich ist, wird die längst mögliche Laufzeit angeboten."
"Default Runtime Only", "Nur Standard-Laufzeit"
"Help Default Runtime Only", "Wenn nur die Standard-Laufzeit angeboten werden soll. Wenn die Laufzeit nicht möglich ist, wird die längst mögliche Laufzeit angeboten."
"Request Failed", "Anfrage fehlgeschlagen"
"Reason Message", "Fehlerursache"